x,y,rating
2025-09-02 00:00:00,62.45714285714286,greed
2025-09-03 00:00:00,61.371428571428574,greed
2025-09-04 00:00:00,61.17142857142858,greed
2025-09-05 00:00:00,58.68571428571429,greed
2025-09-08 00:00:00,58.228571428571435,greed
2025-09-09 00:00:00,57.942857142857136,greed
2025-09-10 00:00:00,57.94285714285714,greed
2025-09-11 00:00:00,60.34285714285715,greed
2025-09-12 00:00:00,61.34285714285714,greed
2025-09-15 00:00:00,64.45714285714287,greed
2025-09-16 00:00:00,64.37142857142858,greed
2025-09-17 00:00:00,63.77142857142858,greed
2025-09-18 00:00:00,66.54285714285714,greed
2025-09-19 00:00:00,66.22857142857144,greed
2025-09-22 00:00:00,66.51428571428572,greed
2025-09-23 00:00:00,56.771428571428565,greed
2025-09-24 00:00:00,54.57142857142857,neutral
2025-09-25 00:00:00,50.65714285714286,neutral
2025-09-26 00:00:00,51.28571428571428,neutral
2025-09-29 00:00:00,50.97142857142857,neutral
2025-09-30 00:00:00,51.40000000000001,neutral
2025-10-01 00:00:00,52.48571428571428,neutral
2025-10-02 00:00:00,54.54285714285715,neutral
2025-10-03 00:00:00,52.57142857142857,neutral
2025-10-06 00:00:00,53.971428571428575,neutral
2025-10-07 00:00:00,51.857142857142854,neutral
2025-10-08 00:00:00,52.942857142857136,neutral
2025-10-09 00:00:00,48.62857142857143,neutral
2025-10-10 00:00:00,30.14285714285714,fear
2025-10-13 00:00:00,29.74285714285714,fear
2025-10-14 00:00:00,28.285714285714285,fear
2025-10-15 00:00:00,27.41428571428571,fear
2025-10-16 00:00:00,23.114285714285717,extreme fear
2025-10-17 00:00:00,22.32857142857143,extreme fear
2025-10-20 00:00:00,29.85714285714286,fear
2025-10-21 00:00:00,28.542857142857148,fear
2025-10-22 00:00:00,26.37142857142857,fear
2025-10-23 00:00:00,27.571428571428573,fear
2025-10-24 00:00:00,32.45714285714286,fear
2025-10-27 00:00:00,37.34285714285715,fear
2025-10-28 00:00:00,39.34285714285714,fear
2025-10-29 00:00:00,42.114285714285714,fear
2025-10-30 00:00:00,37.05714285714286,fear
2025-10-31 00:00:00,34.45714285714286,fear
2025-11-03 00:00:00,32.6,fear
2025-11-04 00:00:00,20.94285714285714,extreme fear
2025-11-05 00:00:00,23.057142857142857,extreme fear
2025-11-06 00:00:00,24.342857142857145,extreme fear
2025-11-07 00:00:00,20.428571428571427,extreme fear
2025-11-10 00:00:00,29.942857142857143,fear
2025-11-11 00:00:00,30.457142857142856,fear
2025-11-12 00:00:00,34.57142857142858,fear
2025-11-13 00:00:00,24.542857142857144,extreme fear
2025-11-14 00:00:00,22.057142857142853,extreme fear
2025-11-17 00:00:00,11.642857142857142,extreme fear
2025-11-18 00:00:00,8.9,extreme fear
2025-11-19 00:00:00,7.857142857142857,extreme fear
2025-11-20 00:00:00,5.171428571428572,extreme fear
2025-11-21 00:00:00,5.6571428571428575,extreme fear
2025-11-24 00:00:00,13.685714285714285,extreme fear
2025-11-25 00:00:00,15.028571428571428,extreme fear
2025-11-26 00:00:00,17.657142857142862,extreme fear
2025-11-28 00:00:00,21.771428571428572,extreme fear
2025-12-01 00:00:00,22.085714285714285,extreme fear
2025-12-02 00:00:00,23.257142857142856,extreme fear
2025-12-03 00:00:00,24.771428571428572,extreme fear
2025-12-04 00:00:00,36.02857142857143,fear
2025-12-05 00:00:00,38.142857142857146,fear
2025-12-08 00:00:00,40.77142857142858,fear
2025-12-09 00:00:00,40.94285714285714,fear
2025-12-10 00:00:00,36.371428571428574,fear
2025-12-11 00:00:00,43.74285714285714,fear
2025-12-12 00:00:00,39.285714285714285,fear
2025-12-15 00:00:00,49.314285714285724,neutral
2025-12-16 00:00:00,46.4,neutral
2025-12-17 00:00:00,37.68571428571429,fear
2025-12-18 00:00:00,42.371428571428574,fear
2025-12-19 00:00:00,44.199999999999996,fear
2025-12-22 00:00:00,54.88571428571429,neutral
2025-12-23 00:00:00,58.57142857142857,greed
2025-12-24 00:00:00,58.0,greed
2025-12-26 00:00:00,54.857142857142854,neutral
2025-12-29 00:00:00,47.885714285714286,neutral
2025-12-30 00:00:00,46.114285714285714,neutral
2025-12-31 00:00:00,43.25714285714286,fear
2026-01-02 00:00:00,45.22857142857142,neutral
2026-01-05 00:00:00,47.60000000000001,neutral
2026-01-06 00:00:00,52.857142857142854,neutral
2026-01-07 00:00:00,48.57142857142857,neutral
2026-01-08 00:00:00,48.371428571428574,neutral
2026-01-09 00:00:00,54.114285714285714,neutral
2026-01-12 00:00:00,58.0,greed
2026-01-13 00:00:00,59.085714285714296,greed
2026-01-14 00:00:00,58.62857142857143,greed
2026-01-15 00:00:00,63.65714285714286,greed
2026-01-16 00:00:00,63.77142857142858,greed
2026-01-20 00:00:00,50.85714285714287,neutral
2026-01-21 00:00:00,53.857142857142854,neutral
2026-01-22 00:00:00,54.771428571428565,neutral
